챕터,스테이지,명중 요구치,집중 요구치
44,44-23,351,297
44,44-24,351,297
44,44-25,351,297
44,44-26,351,297
44,44-27,351,297
44,44-28,352,298
44,44-29,352,298
44,44-30,352,298
45,45-1,352,298
45,45-2,352,298
45,45-3,352,298
45,45-4,352,298
45,45-5,353,299
45,45-6,353,299
45,45-7,353,299
45,45-8,353,299
45,45-9,353,299
45,45-10,353,299
45,45-11,354,300
45,45-12,354,300
45,45-13,354,300
45,45-14,354,300
45,45-15,354,300
45,45-16,354,300
45,45-17,354,300
45,45-18,355,301
45,45-19,355,301
45,45-20,355,301
45,45-21,355,301
45,45-22,355,301
45,45-23,355,301
45,45-24,355,301
45,45-25,356,302
45,45-26,356,302
45,45-27,356,302
45,45-28,356,302
45,45-29,356,302
45,45-30,356,302
46,46-1,357,303
46,46-2,357,303
46,46-3,357,303
46,46-4,357,303
46,46-5,357,303
46,46-6,357,303
46,46-7,357,303
46,46-8,358,304
46,46-9,358,304
46,46-10,358,304
46,46-11,358,304
46,46-12,358,304
46,46-13,358,304
46,46-14,358,304
46,46-15,359,305
46,46-16,359,305
46,46-17,359,305
46,46-18,359,305
46,46-19,359,305
46,46-20,359,305
46,46-21,360,306
46,46-22,360,306
46,46-23,360,306
46,46-24,360,306
46,46-25,360,306
46,46-26,360,306
46,46-27,360,306
46,46-28,361,307
46,46-29,361,307
46,46-30,361,307
47,47-1,361,307
47,47-2,361,307
47,47-3,361,307
47,47-4,361,307
47,47-5,364,308
47,47-6,364,308
47,47-7,364,308
47,47-8,364,308
47,47-9,364,308
47,47-10,364,308
47,47-11,365,309
47,47-12,365,309
47,47-13,365,309
47,47-14,365,309
47,47-15,365,309
47,47-16,365,309
47,47-17,365,309
47,47-18,366,310
47,47-19,366,310
47,47-20,366,310
47,47-21,366,310
47,47-22,366,310
47,47-23,366,310
47,47-24,366,310
47,47-25,368,311
47,47-26,368,311
47,47-27,368,311
47,47-28,368,311
47,47-29,368,311
47,47-30,368,311
48,48-1,369,312
48,48-2,369,312
48,48-3,369,312
48,48-4,369,312
48,48-5,369,312
48,48-6,369,312
48,48-7,369,312
48,48-8,370,313
48,48-9,370,313
48,48-10,370,313
48,48-11,370,313
48,48-12,370,313
48,48-13,370,313
48,48-14,370,313
48,48-15,371,314
48,48-16,371,314
48,48-17,371,314
48,48-18,371,314
48,48-19,371,314
48,48-20,371,314
48,48-21,372,315
48,48-22,372,315
48,48-23,372,315
48,48-24,372,315
48,48-25,372,315
48,48-26,372,315
48,48-27,372,315
48,48-28,373,316
48,48-29,373,316
48,48-30,373,316
49,49-1,373,316
49,49-2,373,316
49,49-3,373,316
49,49-4,373,316
49,49-5,374,317
49,49-6,374,317
49,49-7,374,317
49,49-8,374,317
49,49-9,374,317
49,49-10,374,317
49,49-11,375,318
49,49-12,375,318
49,49-13,375,318
49,49-14,375,318
49,49-15,375,318
49,49-16,375,318
49,49-17,375,318
49,49-18,376,319
49,49-19,376,319
49,49-20,376,319
49,49-21,376,319
49,49-22,376,319
49,49-23,376,319
49,49-24,376,319
49,49-25,377,320
49,49-26,377,320
49,49-27,377,320
49,49-28,377,320
49,49-29,377,320
49,49-30,377,320
50,50-1,378,321
50,50-2,378,321
50,50-3,378,321
50,50-4,378,321
50,50-5,378,321
50,50-6,378,321
50,50-7,378,321
50,50-8,380,322
50,50-9,380,322
50,50-10,380,322
50,50-11,380,322
50,50-12,380,322
50,50-13,380,322
50,50-14,380,322
50,50-15,381,323
50,50-16,381,323
50,50-17,381,323
50,50-18,381,323
50,50-19,381,323
50,50-20,381,323
50,50-21,382,324
50,50-22,382,324
50,50-23,382,324
50,50-24,382,324
50,50-25,382,324
50,50-26,382,324
50,50-27,382,324
50,50-28,383,325
50,50-29,383,325
50,50-30,383,325
51,51-1,383,325
51,51-2,383,325
51,51-3,383,325
51,51-4,383,325
51,51-5,384,326
51,51-6,384,326
51,51-7,384,326
51,51-8,384,326
51,51-9,384,326
51,51-10,384,326
51,51-11,386,327
51,51-12,386,327
51,51-13,386,327
51,51-14,386,327
51,51-15,386,327
51,51-16,386,327
51,51-17,386,327
51,51-18,387,328
51,51-19,387,328
51,51-20,387,328
51,51-21,387,328
51,51-22,387,328
51,51-23,387,328
51,51-24,387,328
51,51-25,389,329
51,51-26,389,329
51,51-27,389,329
51,51-28,389,329
51,51-29,389,329
51,51-30,389,329
52,52-1,390,330
52,52-2,390,330
52,52-3,390,330
52,52-4,390,330
52,52-5,390,330
52,52-6,390,330
52,52-7,390,330
52,52-8,391,331
52,52-9,391,331
52,52-10,391,331
52,52-11,391,331
52,52-12,391,331
52,52-13,391,331
52,52-14,391,331
52,52-15,392,332
52,52-16,392,332
52,52-17,392,332
52,52-18,392,332
52,52-19,392,332
52,52-20,392,332
52,52-21,393,333
52,52-22,393,333
52,52-23,393,333
52,52-24,393,333
52,52-25,393,333
52,52-26,393,333
52,52-27,393,333
52,52-28,394,334
52,52-29,394,334
52,52-30,394,334
53,53-1,394,334
53,53-2,394,334
53,53-3,394,334
53,53-4,394,334
53,53-5,395,335
53,53-6,395,335
53,53-7,395,335
53,53-8,395,335
53,53-9,395,335
53,53-10,395,335
53,53-11,397,336
53,53-12,397,336
53,53-13,397,336
53,53-14,397,336
53,53-15,397,336
53,53-16,397,336
53,53-17,397,336
53,53-18,398,337
53,53-19,398,337
53,53-20,398,337
53,53-21,398,337
53,53-22,398,337
53,53-23,398,337
53,53-24,398,337
53,53-25,399,338
53,53-26,399,338
53,53-27,399,338
53,53-28,399,338
53,53-29,399,338
53,53-30,399,338
54,54-1,400,339
54,54-2,400,339
54,54-3,400,339
54,54-4,400,339
54,54-5,400,339
54,54-6,400,339
54,54-7,400,339
54,54-8,401,340
54,54-9,401,340
54,54-10,401,340
54,54-11,401,340
54,54-12,401,340
54,54-13,401,340
54,54-14,401,340
54,54-15,402,341
54,54-16,402,341
54,54-17,402,341
54,54-18,402,341
54,54-19,402,341
54,54-20,402,341
54,54-21,403,342
54,54-22,403,342
54,54-23,403,342
54,54-24,403,342
54,54-25,403,342
54,54-26,403,342
54,54-27,403,342
54,54-28,404,343
54,54-29,404,343
54,54-30,404,343
55,55-1,404,343
55,55-2,404,343
55,55-3,404,343
55,55-4,404,343
55,55-5,405,344
55,55-6,405,344
55,55-7,405,344
55,55-8,405,344
55,55-9,405,344
55,55-10,405,344
55,55-11,406,345
55,55-12,406,345
55,55-13,406,345
55,55-14,406,345
55,55-15,406,345
55,55-16,406,345
55,55-17,406,345
55,55-18,408,346
55,55-19,408,346
55,55-20,408,346
55,55-21,408,346
55,55-22,408,346
55,55-23,408,346
55,55-24,408,346
55,55-25,410,347
55,55-26,410,347
55,55-27,410,347
55,55-28,410,347
55,55-29,410,347
55,55-30,410,347
56,56-1,411,348
56,56-2,411,348
56,56-3,411,348
56,56-4,411,348
56,56-5,411,348
56,56-6,411,348
56,56-7,411,348
56,56-8,412,349
56,56-9,412,349
56,56-10,412,349
56,56-11,412,349
56,56-12,412,349
56,56-13,412,349
56,56-14,412,349
56,56-15,414,350
56,56-16,414,350
56,56-17,414,350
56,56-18,414,350
56,56-19,414,350
56,56-20,414,350
56,56-21,415,351
56,56-22,415,351
56,56-23,415,351
56,56-24,415,351
56,56-25,415,351
56,56-26,415,351
56,56-27,415,351
56,56-28,416,352
56,56-29,416,352
56,56-30,416,352
57,57-1,416,352
57,57-2,416,352
57,57-3,416,352
57,57-4,416,352
57,57-5,417,353
57,57-6,417,353
57,57-7,417,353
57,57-8,417,353
57,57-9,417,353
57,57-10,417,353
57,57-11,418,354
57,57-12,418,354
57,57-13,418,354
57,57-14,418,354
57,57-15,418,354
57,57-16,418,354
57,57-17,418,354
57,57-18,419,355
57,57-19,419,355
57,57-20,419,355
57,57-21,419,355
57,57-22,419,355
57,57-23,419,355
57,57-24,419,355
57,57-25,420,356
57,57-26,420,356
57,57-27,420,356
57,57-28,420,356
57,57-29,420,356
57,57-30,420,356
58,58-1,421,357
58,58-2,421,357
58,58-3,421,357
58,58-4,421,357
58,58-5,421,357
58,58-6,421,357
58,58-7,421,357
58,58-8,422,358
58,58-9,422,358
58,58-10,422,358
58,58-11,422,358
58,58-12,422,358
58,58-13,422,358
58,58-14,422,358
58,58-15,423,359
58,58-16,423,359
58,58-17,423,359
58,58-18,423,359
58,58-19,423,359
58,58-20,423,359
58,58-21,424,360
58,58-22,424,360
58,58-23,424,360
58,58-24,424,360
58,58-25,424,360
58,58-26,424,360
58,58-27,424,360
58,58-28,425,361
58,58-29,425,361
58,58-30,425,361
59,59-1,425,361
59,59-2,425,361
59,59-3,425,361
59,59-4,425,361
59,59-5,426,362
59,59-6,426,362
59,59-7,426,362
59,59-8,426,362
59,59-9,426,362
59,59-10,426,362
59,59-11,427,363
59,59-12,427,363
59,59-13,427,363
59,59-14,427,363
59,59-15,427,363
59,59-16,427,363
59,59-17,427,363
59,59-18,428,364
59,59-19,428,364
59,59-20,428,364
59,59-21,428,364
59,59-22,428,364
59,59-23,428,364
59,59-24,428,364
59,59-25,432,365
59,59-26,432,365
59,59-27,432,365
59,59-28,432,365
59,59-29,432,365
59,59-30,432,365
60,60-1,433,366
60,60-2,433,366
60,60-3,433,366
60,60-4,433,366
60,60-5,433,366
60,60-6,433,366
60,60-7,433,366
60,60-8,434,367
60,60-9,434,367
60,60-10,434,367
60,60-11,434,367
60,60-12,434,367
60,60-13,434,367
60,60-14,434,367
60,60-15,435,368
60,60-16,435,368
60,60-17,435,368
60,60-18,435,368
60,60-19,435,368
60,60-20,435,368
60,60-21,436,369
60,60-22,436,369
60,60-23,436,369
60,60-24,436,369
60,60-25,436,369
60,60-26,436,369
60,60-27,436,369
60,60-28,437,370
60,60-29,437,370
60,60-30,437,370
61,61-1,437,370
61,61-2,437,370
61,61-3,437,370
61,61-4,437,370
61,61-5,438,371
61,61-6,438,371
61,61-7,438,371
61,61-8,438,371
61,61-9,438,371
61,61-10,438,371
61,61-11,439,372
61,61-12,439,372
61,61-13,439,372
61,61-14,439,372
61,61-15,439,372
61,61-16,439,372
61,61-17,439,372
61,61-18,440,373
61,61-19,440,373
61,61-20,440,373
61,61-21,440,373
61,61-22,440,373
61,61-23,440,373
61,61-24,440,373
61,61-25,441,374
61,61-26,441,374
61,61-27,441,374
61,61-28,441,374
61,61-29,441,374
61,61-30,441,374
62,62-1,442,375
62,62-2,442,375
62,62-3,442,375
62,62-4,442,375
62,62-5,442,375
62,62-6,442,375
62,62-7,442,375
62,62-8,443,376
62,62-9,443,376
62,62-10,443,376
62,62-11,443,376
62,62-12,443,376
62,62-13,443,376
62,62-14,443,376
62,62-15,444,377
62,62-16,444,377
62,62-17,444,377
62,62-18,444,377
62,62-19,444,377
62,62-20,444,377
62,62-21,445,378
62,62-22,445,378
62,62-23,445,378
62,62-24,445,378
62,62-25,445,378
62,62-26,445,378
62,62-27,445,378
62,62-28,447,379
62,62-29,447,379
62,62-30,447,379
63,63-1,447,379
63,63-2,447,379
63,63-3,447,379
63,63-4,447,379
63,63-5,448,380
63,63-6,448,380
63,63-7,448,380
63,63-8,448,380
63,63-9,448,380
63,63-10,448,380
63,63-11,449,381
63,63-12,449,381
63,63-13,449,381
63,63-14,449,381
63,63-15,449,381
63,63-16,449,381
63,63-17,449,381
63,63-18,450,382
63,63-19,450,382
63,63-20,450,382
63,63-21,450,382
63,63-22,450,382
63,63-23,450,382
63,63-24,450,382
63,63-25,453,383
63,63-26,453,383
63,63-27,453,383
63,63-28,453,383
63,63-29,453,383
63,63-30,453,383
64,64-1,454,384
64,64-2,454,384
64,64-3,454,384
64,64-4,454,384
64,64-5,454,384
64,64-6,454,384
64,64-7,454,384
64,64-8,455,385
64,64-9,455,385
64,64-10,455,385
64,64-11,455,385
64,64-12,455,385
64,64-13,455,385
64,64-14,455,385
64,64-15,456,386
64,64-16,456,386
64,64-17,456,386
64,64-18,456,386
64,64-19,456,386
64,64-20,456,386
64,64-21,457,387
64,64-22,457,387
64,64-23,457,387
64,64-24,457,387
64,64-25,457,387
64,64-26,457,387
64,64-27,457,387
64,64-28,458,388
64,64-29,458,388
64,64-30,458,388
65,65-1,458,388
65,65-2,458,388
65,65-3,458,388
65,65-4,458,388
65,65-5,459,389
65,65-6,459,389
65,65-7,459,389
65,65-8,459,389
65,65-9,459,389
65,65-10,459,389
65,65-11,460,390
65,65-12,460,390
65,65-13,460,390
65,65-14,460,390
65,65-15,460,390
65,65-16,460,390
65,65-17,460,390
65,65-18,461,391
65,65-19,461,391
65,65-20,461,391
65,65-21,461,391
65,65-22,461,391
65,65-23,461,391
65,65-24,461,391
65,65-25,462,392
65,65-26,462,392
65,65-27,462,392
65,65-28,462,392
65,65-29,462,392
65,65-30,462,392
66,66-1,464,393
66,66-2,464,393
66,66-3,464,393
66,66-4,464,393
66,66-5,464,393
66,66-6,464,393
66,66-7,464,393
66,66-8,465,394
66,66-9,465,394
66,66-10,465,394
66,66-11,465,394
66,66-12,465,394
66,66-13,465,394
66,66-14,465,394
66,66-15,466,395
66,66-16,466,395
66,66-17,466,395
66,66-18,466,395
66,66-19,466,395
66,66-20,466,395
66,66-21,467,396
66,66-22,467,396
66,66-23,467,396
66,66-24,467,396
66,66-25,467,396
66,66-26,467,396
66,66-27,467,396
66,66-28,468,397
66,66-29,468,397
66,66-30,468,397
67,67-1,468,397
67,67-2,468,397
67,67-3,468,397
67,67-4,468,397
67,67-5,469,398
67,67-6,469,398
67,67-7,469,398
67,67-8,469,398
67,67-9,469,398
67,67-10,469,398
67,67-11,470,399
67,67-12,470,399
67,67-13,470,399
67,67-14,470,399
67,67-15,470,399
67,67-16,470,399
67,67-17,470,399
67,67-18,471,400
67,67-19,471,400
67,67-20,471,400
67,67-21,471,400
67,67-22,471,400
67,67-23,471,400
67,67-24,471,400
67,67-25,473,401
67,67-26,473,401
67,67-27,473,401
67,67-28,473,401
67,67-29,473,401
67,67-30,473,401
68,68-1,475,402
68,68-2,475,402
68,68-3,475,402
68,68-4,475,402
68,68-5,475,402
68,68-6,475,402
68,68-7,475,402
68,68-8,476,403
68,68-9,476,403
68,68-10,476,403
68,68-11,476,403
68,68-12,476,403
68,68-13,476,403
68,68-14,476,403
68,68-15,477,404
68,68-16,477,404
68,68-17,477,404
68,68-18,477,404
68,68-19,477,404
68,68-20,477,404
68,68-21,478,405
68,68-22,478,405
68,68-23,478,405
68,68-24,478,405
68,68-25,478,405
68,68-26,478,405
68,68-27,478,405
68,68-28,479,406
68,68-29,479,406
68,68-30,479,406
69,69-1,479,406
69,69-2,479,406
69,69-3,479,406
69,69-4,479,406
69,69-5,480,407
69,69-6,480,407
69,69-7,480,407
69,69-8,480,407
69,69-9,480,407
69,69-10,480,407
69,69-11,482,408
69,69-12,482,408
69,69-13,482,408
69,69-14,482,408
69,69-15,482,408
69,69-16,482,408
69,69-17,482,408
69,69-18,483,409
69,69-19,483,409
69,69-20,483,409
69,69-21,483,409
69,69-22,483,409
69,69-23,483,409
69,69-24,483,409
69,69-25,484,410
69,69-26,484,410
69,69-27,484,410
69,69-28,484,410
69,69-29,484,410
69,69-30,484,410
70,70-1,485,411
70,70-2,485,411
70,70-3,485,411
70,70-4,485,411
70,70-5,485,411
70,70-6,485,411
70,70-7,485,411
70,70-8,486,412
70,70-9,486,412
70,70-10,486,412
70,70-11,486,412
70,70-12,486,412
70,70-13,486,412
70,70-14,486,412
70,70-15,487,413
70,70-16,487,413
70,70-17,487,413
70,70-18,487,413
70,70-19,487,413
70,70-20,487,413
70,70-21,488,414
70,70-22,488,414
70,70-23,488,414
70,70-24,488,414
70,70-25,488,414
70,70-26,488,414
70,70-27,488,414
70,70-28,489,415
70,70-29,489,415
70,70-30,489,415
71,71-1,489,415
71,71-2,489,415
71,71-3,489,415
71,71-4,489,415
71,71-5,490,416
71,71-6,490,416
71,71-7,490,416
71,71-8,490,416
71,71-9,490,416
71,71-10,490,416
71,71-11,491,417
71,71-12,491,417
71,71-13,491,417
71,71-14,491,417
71,71-15,491,417
71,71-16,491,417
71,71-17,491,417
71,71-18,492,418
71,71-19,492,418
71,71-20,492,418
71,71-21,492,418
71,71-22,492,418
71,71-23,492,418
71,71-24,492,418
71,71-25,494,419
71,71-26,494,419
71,71-27,494,419
71,71-28,494,419
71,71-29,494,419
71,71-30,494,419
72,72-1,495,420
72,72-2,495,420
72,72-3,495,420
72,72-4,495,420
72,72-5,495,420
72,72-6,495,420
72,72-7,495,420
72,72-8,497,421
72,72-9,497,421
72,72-10,497,421
72,72-11,497,421
72,72-12,497,421
72,72-13,497,421
72,72-14,497,421
72,72-15,499,422
72,72-16,499,422
72,72-17,499,422
72,72-18,499,422
72,72-19,499,422
72,72-20,499,422
72,72-21,500,423
72,72-22,500,423
72,72-23,500,423
72,72-24,500,423
72,72-25,500,423
72,72-26,500,423
72,72-27,500,423
72,72-28,501,424
72,72-29,501,424
72,72-30,501,424
73,73-1,501,424
73,73-2,501,424
73,73-3,501,424
73,73-4,501,424
73,73-5,502,425
73,73-6,502,425
73,73-7,502,425
73,73-8,502,425
73,73-9,502,425
73,73-10,502,425
73,73-11,503,426
73,73-12,503,426
73,73-13,503,426
73,73-14,503,426
73,73-15,503,426
73,73-16,503,426
73,73-17,503,426
73,73-18,504,427
73,73-19,504,427
73,73-20,504,427
73,73-21,504,427
73,73-22,504,427
73,73-23,504,427
73,73-24,504,427
73,73-25,505,428
73,73-26,505,428
73,73-27,505,428
73,73-28,505,428
73,73-29,505,428
73,73-30,505,428
74,74-1,506,429
74,74-2,506,429
74,74-3,506,429
74,74-4,506,429
74,74-5,506,429
74,74-6,506,429
74,74-7,506,429
74,74-8,507,430
74,74-9,507,430
74,74-10,507,430
74,74-11,507,430
74,74-12,507,430
74,74-13,507,430
74,74-14,507,430
74,74-15,508,431
74,74-16,508,431
74,74-17,508,431
74,74-18,508,431
74,74-19,508,431
74,74-20,508,431
74,74-21,509,432
74,74-22,509,432
74,74-23,509,432
74,74-24,509,432
74,74-25,509,432
74,74-26,509,432
74,74-27,509,432
74,74-28,510,433
74,74-29,510,433
74,74-30,510,433
75,75-1,510,433
75,75-2,510,433
75,75-3,510,433
75,75-4,510,433
75,75-5,511,434
75,75-6,511,434
75,75-7,511,434
75,75-8,511,434
75,75-9,511,434
75,75-10,511,434
75,75-11,512,435
75,75-12,512,435
75,75-13,512,435
75,75-14,512,435
75,75-15,512,435
75,75-16,512,435
75,75-17,512,435
75,75-18,515,436
75,75-19,515,436
75,75-20,515,436
75,75-21,515,436
75,75-22,515,436
75,75-23,515,436
75,75-24,515,436
75,75-25,516,437
75,75-26,516,437
75,75-27,516,437
75,75-28,516,437
75,75-29,516,437
75,75-30,516,437
76,76-1,517,438
76,76-2,517,438
76,76-3,517,438
76,76-4,517,438
76,76-5,517,438
76,76-6,517,438
76,76-7,517,438
76,76-8,519,439
76,76-9,519,439
76,76-10,519,439
76,76-11,519,439
76,76-12,519,439
76,76-13,519,439
76,76-14,519,439
76,76-15,520,440
76,76-16,520,440
76,76-17,520,440
76,76-18,520,440
76,76-19,520,440
76,76-20,520,440
76,76-21,521,441
76,76-22,521,441
76,76-23,521,441
76,76-24,521,441
76,76-25,521,441
76,76-26,521,441
76,76-27,521,441
76,76-28,522,442
76,76-29,522,442
76,76-30,522,442
77,77-1,522,442
77,77-2,522,442
77,77-3,522,442
77,77-4,522,442
77,77-5,523,443
77,77-6,523,443
77,77-7,523,443
77,77-8,523,443
77,77-9,523,443
77,77-10,523,443
77,77-11,524,444
77,77-12,524,444
77,77-13,524,444
77,77-14,524,444
77,77-15,524,444
77,77-16,524,444
77,77-17,524,444
77,77-18,525,445
77,77-19,525,445
77,77-20,525,445
77,77-21,525,445
77,77-22,525,445
77,77-23,525,445
77,77-24,525,445
77,77-25,526,446
77,77-26,526,446
77,77-27,526,446
77,77-28,526,446
77,77-29,526,446
77,77-30,526,446
78,78-1,527,447
78,78-2,527,447
78,78-3,527,447
78,78-4,527,447
78,78-5,527,447
78,78-6,527,447
78,78-7,527,447
78,78-8,528,448
78,78-9,528,448
78,78-10,528,448
78,78-11,528,448
78,78-12,528,448
78,78-13,528,448
78,78-14,528,448
78,78-15,529,449
78,78-16,529,449
78,78-17,529,449
78,78-18,529,449
78,78-19,529,449
78,78-20,529,449
78,78-21,531,450
78,78-22,531,450
78,78-23,531,450
78,78-24,531,450
78,78-25,531,450
78,78-26,531,450
78,78-27,531,450
78,78-28,532,451
78,78-29,532,451
78,78-30,532,451
79,79-1,532,451
79,79-2,532,451
79,79-3,532,451
79,79-4,532,451
79,79-5,533,452
79,79-6,533,452
79,79-7,533,452
79,79-8,533,452
79,79-9,533,452
79,79-10,533,452
79,79-11,534,453
79,79-12,534,453
79,79-13,534,453
79,79-14,534,453
79,79-15,534,453
79,79-16,534,453
79,79-17,534,453
79,79-18,536,454
79,79-19,536,454
79,79-20,536,454
79,79-21,536,454
79,79-22,536,454
79,79-23,536,454
79,79-24,536,454
79,79-25,537,455
79,79-26,537,455
79,79-27,537,455
79,79-28,537,455
79,79-29,537,455
79,79-30,537,455
80,80-1,538,456
80,80-2,538,456
80,80-3,538,456
80,80-4,538,456
80,80-5,538,456
80,80-6,538,456
80,80-7,538,456
80,80-8,539,457
80,80-9,539,457
80,80-10,539,457
80,80-11,539,457
80,80-12,539,457
80,80-13,539,457
80,80-14,539,457
80,80-15,541,458
80,80-16,541,458
80,80-17,541,458
80,80-18,541,458
80,80-19,541,458
80,80-20,541,458
80,80-21,542,459
80,80-22,542,459
80,80-23,542,459
80,80-24,542,459
80,80-25,542,459
80,80-26,542,459
80,80-27,542,459
80,80-28,543,460
80,80-29,543,460
80,80-30,543,460
81,81-1,543,460
81,81-2,543,460
81,81-3,543,460
81,81-4,543,460
81,81-5,544,461
81,81-6,544,461
81,81-7,544,461
81,81-8,544,461
81,81-9,544,461
81,81-10,544,461
81,81-11,545,462
81,81-12,545,462
81,81-13,545,462
81,81-14,545,462
81,81-15,545,462
81,81-16,545,462
81,81-17,545,462
81,81-18,546,463
81,81-19,546,463
81,81-20,546,463
81,81-21,546,463
81,81-22,546,463
81,81-23,546,463
81,81-24,546,463
81,81-25,547,464
81,81-26,547,464
81,81-27,547,464
81,81-28,547,464
81,81-29,547,464
81,81-30,547,464
82,82-1,549,465
82,82-2,549,465
82,82-3,549,465
82,82-4,549,465
82,82-5,549,465
82,82-6,549,465
82,82-7,549,465
82,82-8,550,466
82,82-9,550,466
82,82-10,550,466
82,82-11,550,466
82,82-12,550,466
82,82-13,550,466
82,82-14,550,466
82,82-15,551,467
82,82-16,551,467
82,82-17,551,467
82,82-18,551,467
82,82-19,551,467
82,82-20,551,467
82,82-21,552,468
82,82-22,552,468
82,82-23,552,468
82,82-24,552,468
82,82-25,552,468
82,82-26,552,468
82,82-27,552,468
82,82-28,553,469
82,82-29,553,469
82,82-30,553,469
83,83-1,553,469
83,83-2,553,469
83,83-3,553,469
83,83-4,553,469
83,83-5,554,470
83,83-6,554,470
83,83-7,554,470
83,83-8,554,470
83,83-9,554,470
83,83-10,554,470
83,83-11,555,471
83,83-12,555,471
83,83-13,555,471
83,83-14,555,471
83,83-15,555,471
83,83-16,555,471
83,83-17,555,471
83,83-18,557,472
83,83-19,557,472
83,83-20,557,472
83,83-21,557,472
83,83-22,557,472
83,83-23,557,472
83,83-24,557,472
83,83-25,558,473
83,83-26,558,473
83,83-27,558,473
83,83-28,558,473
83,83-29,558,473
83,83-30,558,473
84,84-1,559,474
84,84-2,559,474
84,84-3,559,474
84,84-4,559,474
84,84-5,559,474
84,84-6,559,474
84,84-7,559,474
84,84-8,560,475
84,84-9,560,475
84,84-10,560,475
84,84-11,560,475
84,84-12,560,475
84,84-13,560,475
84,84-14,560,475
84,84-15,561,476
84,84-16,561,476
84,84-17,561,476
84,84-18,561,476
84,84-19,561,476
84,84-20,561,476
84,84-21,563,477
84,84-22,563,477
84,84-23,563,477
84,84-24,563,477
84,84-25,563,477
84,84-26,563,477
84,84-27,563,477
84,84-28,564,478
84,84-29,564,478
84,84-30,564,478
85,85-1,564,478
85,85-2,564,478
85,85-3,564,478
85,85-4,564,478
85,85-5,566,479
85,85-6,566,479
85,85-7,566,479
85,85-8,566,479
85,85-9,566,479
85,85-10,566,479
85,85-11,567,480
85,85-12,567,480
85,85-13,567,480
85,85-14,567,480
85,85-15,567,480
85,85-16,567,480
85,85-17,567,480
85,85-18,568,481
85,85-19,568,481
85,85-20,568,481
85,85-21,568,481
85,85-22,568,481
85,85-23,568,481
85,85-24,568,481
85,85-25,569,482
85,85-26,569,482
85,85-27,569,482
85,85-28,569,482
85,85-29,569,482
85,85-30,569,482
86,86-1,570,483
86,86-2,570,483
86,86-3,570,483
86,86-4,570,483
86,86-5,570,483
86,86-6,570,483
86,86-7,570,483
86,86-8,571,484
86,86-9,571,484
86,86-10,571,484
86,86-11,571,484
86,86-12,571,484
86,86-13,571,484
86,86-14,571,484
86,86-15,572,485
86,86-16,572,485
86,86-17,572,485
86,86-18,572,485
86,86-19,572,485
86,86-20,572,485
86,86-21,573,486
86,86-22,573,486
86,86-23,573,486
86,86-24,573,486
86,86-25,573,486
86,86-26,573,486
86,86-27,573,486
86,86-28,574,487
86,86-29,574,487
86,86-30,574,487
87,87-1,574,487
87,87-2,574,487
87,87-3,574,487
87,87-4,574,487
87,87-5,575,488
87,87-6,575,488
87,87-7,575,488
87,87-8,575,488
87,87-9,575,488
87,87-10,575,488
87,87-11,576,489
87,87-12,576,489
87,87-13,576,489
87,87-14,576,489
87,87-15,576,489
87,87-16,576,489
87,87-17,576,489
87,87-18,578,490
87,87-19,578,490
87,87-20,578,490
87,87-21,578,490
87,87-22,578,490
87,87-23,578,490
87,87-24,578,490
87,87-25,579,491
87,87-26,579,491
87,87-27,579,491
87,87-28,579,491
87,87-29,579,491
87,87-30,579,491
88,88-1,580,492
88,88-2,580,492
88,88-3,580,492
88,88-4,580,492
88,88-5,580,492
88,88-6,580,492
88,88-7,580,492
88,88-8,582,493
88,88-9,582,493
88,88-10,582,493
88,88-11,582,493
88,88-12,582,493
88,88-13,582,493
88,88-14,582,493
88,88-15,583,494
88,88-16,583,494
88,88-17,583,494
88,88-18,583,494
88,88-19,583,494
88,88-20,583,494
88,88-21,585,495
88,88-22,585,495
88,88-23,585,495
88,88-24,585,495
88,88-25,585,495
88,88-26,585,495
88,88-27,585,495
88,88-28,586,496
88,88-29,586,496
88,88-30,586,496
89,89-1,586,496
89,89-2,586,496
89,89-3,586,496
89,89-4,586,496
89,89-5,587,497
89,89-6,587,497
89,89-7,587,497
89,89-8,587,497
89,89-9,587,497
89,89-10,587,497
89,89-11,588,498
89,89-12,588,498
89,89-13,588,498
89,89-14,588,498
89,89-15,588,498
89,89-16,588,498
89,89-17,588,498
89,89-18,589,499
89,89-19,589,499
89,89-20,589,499
89,89-21,589,499
89,89-22,589,499
89,89-23,589,499
89,89-24,589,499
89,89-25,590,500
89,89-26,590,500
89,89-27,590,500
89,89-28,590,500
89,89-29,590,500
89,89-30,590,500
90,90-1,591,501
90,90-2,591,501
90,90-3,591,501
90,90-4,591,501
90,90-5,591,501
90,90-6,591,501
90,90-7,591,501
90,90-8,592,502
90,90-9,592,502
90,90-10,592,502
90,90-11,592,502
90,90-12,592,502
90,90-13,592,502
90,90-14,592,502
90,90-15,593,503
90,90-16,593,503
90,90-17,593,503
90,90-18,593,503
90,90-19,593,503
90,90-20,593,503
90,90-21,594,504
90,90-22,594,504
90,90-23,594,504
90,90-24,594,504
90,90-25,594,504
90,90-26,594,504
90,90-27,594,504
90,90-28,595,505
90,90-29,595,505
90,90-30,595,505
91,91-1,595,505
91,91-2,595,505
91,91-3,595,505
91,91-4,595,505
91,91-5,596,506
91,91-6,596,506
91,91-7,596,506
91,91-8,596,506
91,91-9,596,506
