챕터,스테이지,55% 적정투력,75% 적정투력,100% 적정투력,120% 적정투력
40,40-10,5M 177K,6M 902K,8M 628K,10M 353K
40,40-11,5M 202K,6M 935K,8M 669K,10M 403K
40,40-12,5M 226K,6M 968K,8M 710K,10M 452K
40,40-13,5M 251K,7M 2K,8M 752K,10M 502K
40,40-14,5M 277K,7M 35K,8M 794K,10M 553K
40,40-15,5M 302K,7M 69K,8M 836K,10M 603K
40,40-16,5M 327K,7M 103K,8M 878K,10M 654K
40,40-17,5M 353K,7M 137K,8M 921K,10M 705K
40,40-18,5M 378K,7M 171K,8M 964K,10M 756K
40,40-19,5M 404K,7M 205K,9M 7K,10M 808K
40,40-20,5M 430K,7M 240K,9M 50K,10M 860K
40,40-21,5M 456K,7M 275K,9M 93K,10M 912K
40,40-22,5M 482K,7M 309K,9M 137K,10M 964K
40,40-23,5M 508K,7M 344K,9M 180K,11M 16K
40,40-24,5M 535K,7M 380K,9M 224K,11M 69K
40,40-25,5M 561K,7M 415K,9M 269K,11M 122K
40,40-26,5M 588K,7M 450K,9M 313K,11M 175K
40,40-27,5M 615K,7M 486K,9M 358K,11M 229K
40,40-28,5M 642K,7M 522K,9M 402K,11M 283K
40,40-29,5M 669K,7M 558K,9M 447K,11M 337K
40,40-30,5M 696K,7M 594K,9M 493K,11M 391K
41,41-1,5M 708K,7M 611K,9M 513K,11M 416K
41,41-2,5M 721K,7M 628K,9M 534K,11M 441K
41,41-3,5M 733K,7M 644K,9M 555K,11M 466K
41,41-4,5M 746K,7M 661K,9M 576K,11M 491K
41,41-5,5M 758K,7M 678K,9M 597K,11M 516K
41,41-6,5M 771K,7M 695K,9M 618K,11M 542K
41,41-7,5M 784K,7M 712K,9M 639K,11M 567K
41,41-8,5M 796K,7M 728K,9M 660K,11M 592K
41,41-9,5M 809K,7M 745K,9M 682K,11M 618K
41,41-10,5M 822K,7M 762K,9M 703K,11M 643K
41,41-11,5M 835K,7M 779K,9M 724K,11M 669K
41,41-12,5M 847K,7M 796K,9M 745K,11M 694K
41,41-13,5M 860K,7M 814K,9M 767K,11M 720K
41,41-14,5M 873K,7M 831K,9M 788K,11M 746K
41,41-15,5M 886K,7M 848K,9M 810K,11M 771K
41,41-16,5M 899K,7M 865K,9M 831K,11M 797K
41,41-17,5M 912K,7M 882K,9M 853K,11M 823K
41,41-18,5M 925K,7M 900K,9M 874K,11M 849K
41,41-19,5M 938K,7M 917K,9M 896K,11M 875K
41,41-20,5M 951K,7M 934K,9M 918K,11M 901K
41,41-21,5M 964K,7M 952K,9M 939K,11M 927K
41,41-22,5M 977K,7M 969K,9M 961K,11M 953K
41,41-23,5M 990K,7M 987K,9M 983K,11M 980K
41,41-24,6M 3K,8M 4K,10M 5K,12M 6K
41,41-25,6M 16K,8M 22K,10M 27K,12M 32K
41,41-26,6M 29K,8M 39K,10M 49K,12M 58K
41,41-27,6M 43K,8M 57K,10M 71K,12M 85K
41,41-28,6M 56K,8M 74K,10M 93K,12M 111K
41,41-29,6M 69K,8M 92K,10M 115K,12M 138K
41,41-30,6M 83K,8M 110K,10M 137K,12M 165K
42,42-1,6M 96K,8M 128K,10M 159K,12M 191K
42,42-2,6M 109K,8M 145K,10M 182K,12M 218K
42,42-3,6M 123K,8M 163K,10M 204K,12M 245K
42,42-4,6M 136K,8M 181K,10M 226K,12M 272K
42,42-5,6M 150K,8M 199K,10M 249K,12M 299K
42,42-6,6M 163K,8M 217K,10M 271K,12M 325K
42,42-7,6M 177K,8M 235K,10M 294K,12M 353K
42,42-8,6M 190K,8M 253K,10M 316K,12M 380K
42,42-9,6M 204K,8M 271K,10M 339K,12M 407K
42,42-10,6M 217K,8M 289K,10M 362K,12M 434K
42,42-11,6M 231K,8M 308K,10M 384K,12M 461K
42,42-12,6M 245K,8M 326K,10M 407K,12M 489K
42,42-13,6M 258K,8M 344K,10M 430K,12M 516K
42,42-14,6M 272K,8M 362K,10M 453K,12M 543K
42,42-15,6M 286K,8M 381K,10M 476K,12M 571K
42,42-16,6M 299K,8M 399K,10M 499K,12M 598K
42,42-17,6M 313K,8M 418K,10M 522K,12M 626K
42,42-18,6M 327K,8M 436K,10M 545K,12M 654K
42,42-19,6M 341K,8M 454K,10M 568K,12M 681K
42,42-20,6M 355K,8M 473K,10M 591K,12M 709K
42,42-21,6M 369K,8M 492K,10M 614K,12M 737K
42,42-22,6M 383K,8M 510K,10M 638K,12M 765K
42,42-23,6M 397K,8M 529K,10M 661K,12M 793K
42,42-24,6M 411K,8M 548K,10M 684K,12M 821K
42,42-25,6M 425K,8M 566K,10M 708K,12M 849K
42,42-26,6M 439K,8M 585K,10M 731K,12M 877K
42,42-27,6M 453K,8M 604K,10M 755K,12M 906K
42,42-28,6M 467K,8M 623K,10M 778K,12M 934K
42,42-29,6M 481K,8M 642K,10M 802K,12M 962K
42,42-30,6M 496K,8M 661K,10M 826K,12M 991K
43,43-1,6M 510K,8M 680K,10M 849K,13M 19K
43,43-2,6M 524K,8M 699K,10M 873K,13M 48K
43,43-3,6M 538K,8M 718K,10M 897K,13M 76K
43,43-4,6M 553K,8M 737K,10M 921K,13M 105K
43,43-5,6M 567K,8M 756K,10M 945K,13M 134K
43,43-6,6M 582K,8M 775K,10M 969K,13M 163K
43,43-7,6M 596K,8M 794K,10M 993K,13M 191K
43,43-8,6M 610K,8M 814K,11M 17K,13M 220K
43,43-9,6M 625K,8M 833K,11M 41K,13M 249K
43,43-10,6M 639K,8M 852K,11M 65K,13M 278K
43,43-11,6M 654K,8M 872K,11M 90K,13M 308K
43,43-12,6M 669K,8M 891K,11M 114K,13M 337K
43,43-13,6M 683K,8M 911K,11M 138K,13M 366K
43,43-14,6M 698K,8M 930K,11M 163K,13M 395K
43,43-15,6M 713K,8M 950K,11M 187K,13M 425K
43,43-16,6M 727K,8M 970K,11M 212K,13M 454K
43,43-17,6M 742K,8M 989K,11M 236K,13M 484K
43,43-18,6M 757K,9M 9K,11M 261K,13M 513K
43,43-19,6M 772K,9M 29K,11M 286K,13M 543K
43,43-20,6M 786K,9M 48K,11M 310K,13M 572K
43,43-21,6M 801K,9M 68K,11M 335K,13M 602K
43,43-22,6M 816K,9M 88K,11M 360K,13M 632K
43,43-23,6M 831K,9M 108K,11M 385K,13M 662K
43,43-24,6M 846K,9M 128K,11M 410K,13M 692K
43,43-25,6M 861K,9M 148K,11M 435K,13M 722K
43,43-26,6M 876K,9M 168K,11M 460K,13M 752K
43,43-27,6M 891K,9M 188K,11M 485K,13M 782K
43,43-28,6M 906K,9M 208K,11M 510K,13M 812K
43,43-29,6M 922K,9M 229K,11M 536K,13M 843K
43,43-30,6M 937K,9M 249K,11M 561K,13M 873K
44,44-1,6M 952K,9M 269K,11M 586K,13M 903K
44,44-2,6M 967K,9M 289K,11M 612K,13M 934K
44,44-3,6M 982K,9M 310K,11M 637K,13M 964K
44,44-4,6M 998K,9M 330K,11M 663K,13M 995K
44,44-5,7M 13K,9M 351K,11M 688K,14M 26K
44,44-6,7M 28K,9M 371K,11M 714K,14M 56K
44,44-7,7M 44K,9M 392K,11M 739K,14M 87K
44,44-8,7M 59K,9M 412K,11M 765K,14M 118K
44,44-9,7M 75K,9M 433K,11M 791K,14M 149K
44,44-10,7M 90K,9M 454K,11M 817K,14M 180K
44,44-11,7M 106K,9M 474K,11M 843K,14M 211K
44,44-12,7M 121K,9M 495K,11M 869K,14M 242K
44,44-13,7M 137K,9M 516K,11M 895K,14M 274K
44,44-14,7M 153K,9M 537K,11M 921K,14M 305K
44,44-15,7M 168K,9M 558K,11M 947K,14M 336K
44,44-16,7M 184K,9M 579K,11M 973K,14M 368K
44,44-17,7M 200K,9M 600K,11M 999K,14M 399K
44,44-18,7M 216K,9M 621K,12M 26K,14M 431K
44,44-19,7M 231K,9M 642K,12M 52K,14M 462K
44,44-20,7M 247K,9M 663K,12M 78K,14M 494K
44,44-21,7M 263K,9M 684K,12M 105K,14M 526K
44,44-22,7M 279K,9M 705K,12M 131K,14M 558K
44,44-23,7M 295K,9M 727K,12M 158K,14M 590K
44,44-24,7M 311K,9M 748K,12M 185K,14M 622K
44,44-25,7M 327K,9M 769K,12M 211K,14M 654K
44,44-26,7M 343K,9M 791K,12M 238K,14M 686K
44,44-27,7M 359K,9M 812K,12M 265K,14M 718K
44,44-28,7M 375K,9M 834K,12M 292K,14M 750K
44,44-29,7M 392K,9M 855K,12M 319K,14M 783K
44,44-30,7M 408K,9M 877K,12M 346K,14M 815K
45,45-1,7M 424K,9M 898K,12M 373K,14M 847K
45,45-2,7M 440K,9M 920K,12M 400K,14M 880K
45,45-3,7M 457K,9M 942K,12M 427K,14M 913K
45,45-4,7M 473K,9M 964K,12M 455K,14M 945K
45,45-5,7M 489K,9M 986K,12M 482K,14M 978K
45,45-6,7M 506K,10M 7K,12M 509K,15M 11K
45,45-7,7M 522K,10M 29K,12M 537K,15M 44K
45,45-8,7M 539K,10M 51K,12M 564K,15M 77K
45,45-9,7M 555K,10M 73K,12M 592K,15M 110K
45,45-10,7M 572K,10M 95K,12M 619K,15M 143K
45,45-11,7M 588K,10M 118K,12M 647K,15M 176K
45,45-12,7M 605K,10M 140K,12M 675K,15M 209K
45,45-13,7M 622K,10M 162K,12M 702K,15M 243K
45,45-14,7M 638K,10M 184K,12M 730K,15M 276K
45,45-15,7M 652K,10M 203K,12M 753K,15M 304K
45,45-16,7M 666K,10M 221K,12M 776K,15M 331K
45,45-17,7M 679K,10M 239K,12M 799K,15M 358K
45,45-18,7M 693K,10M 257K,12M 822K,15M 386K
45,45-19,7M 707K,10M 276K,12M 845K,15M 414K
45,45-20,7M 721K,10M 294K,12M 868K,15M 441K
45,45-21,7M 735K,10M 313K,12M 891K,15M 469K
45,45-22,7M 749K,10M 331K,12M 914K,15M 497K
45,45-23,7M 762K,10M 350K,12M 937K,15M 524K
45,45-24,7M 776K,10M 368K,12M 960K,15M 552K
45,45-25,7M 790K,10M 387K,12M 983K,15M 580K
45,45-26,7M 804K,10M 405K,13M 7K,15M 608K
45,45-27,7M 818K,10M 424K,13M 30K,15M 636K
45,45-28,7M 832K,10M 443K,13M 53K,15M 664K
45,45-29,7M 846K,10M 461K,13M 77K,15M 692K
45,45-30,7M 860K,10M 480K,13M 100K,15M 720K
46,46-1,7M 874K,10M 499K,13M 124K,15M 748K
46,46-2,7M 888K,10M 518K,13M 147K,15M 776K
46,46-3,7M 903K,10M 537K,13M 171K,15M 805K
46,46-4,7M 917K,10M 556K,13M 194K,15M 833K
46,46-5,7M 931K,10M 574K,13M 218K,15M 861K
46,46-6,7M 945K,10M 593K,13M 242K,15M 890K
46,46-7,7M 959K,10M 612K,13M 265K,15M 918K
46,46-8,7M 974K,10M 631K,13M 289K,15M 947K
46,46-9,7M 988K,10M 650K,13M 313K,15M 975K
46,46-10,8M 2K,10M 670K,13M 337K,16M 4K
46,46-11,8M 17K,10M 689K,13M 361K,16M 33K
46,46-12,8M 31K,10M 708K,13M 385K,16M 61K
46,46-13,8M 45K,10M 727K,13M 409K,16M 90K
46,46-14,8M 60K,10M 746K,13M 433K,16M 119K
46,46-15,8M 74K,10M 765K,13M 457K,16M 148K
46,46-16,8M 88K,10M 784K,13M 480K,16M 176K
46,46-17,8M 103K,10M 803K,13M 504K,16M 205K
46,46-18,8M 117K,10M 822K,13M 528K,16M 233K
46,46-19,8M 131K,10M 841K,13M 552K,16M 262K
46,46-20,8M 145K,10M 860K,13M 575K,16M 290K
46,46-21,8M 160K,10M 880K,13M 599K,16M 319K
46,46-22,8M 174K,10M 899K,13M 623K,16M 348K
46,46-23,8M 188K,10M 918K,13M 647K,16M 376K
46,46-24,8M 203K,10M 937K,13M 671K,16M 405K
46,46-25,8M 217K,10M 956K,13M 695K,16M 434K
46,46-26,8M 232K,10M 976K,13M 719K,16M 463K
46,46-27,8M 246K,10M 995K,13M 743K,16M 492K
46,46-28,8M 261K,11M 14K,13M 768K,16M 521K
46,46-29,8M 275K,11M 33K,13M 792K,16M 550K
46,46-30,8M 290K,11M 53K,13M 816K,16M 579K
47,47-1,8M 304K,11M 72K,13M 840K,16M 608K
47,47-2,8M 319K,11M 92K,13M 865K,16M 637K
47,47-3,8M 334K,11M 111K,13M 889K,16M 667K
47,47-4,8M 348K,11M 131K,13M 913K,16M 696K
47,47-5,8M 363K,11M 150K,13M 938K,16M 725K
47,47-6,8M 378K,11M 170K,13M 962K,16M 755K
47,47-7,8M 392K,11M 190K,13M 987K,16M 784K
47,47-8,8M 407K,11M 209K,14M 11K,16M 814K
47,47-9,8M 422K,11M 229K,14M 36K,16M 843K
47,47-10,8M 437K,11M 249K,14M 61K,16M 873K
47,47-11,8M 452K,11M 269K,14M 86K,16M 903K
47,47-12,8M 466K,11M 288K,14M 110K,16M 932K
47,47-13,8M 481K,11M 308K,14M 135K,16M 962K
47,47-14,8M 496K,11M 328K,14M 160K,16M 992K
47,47-15,8M 511K,11M 348K,14M 185K,17M 22K
47,47-16,8M 526K,11M 368K,14M 210K,17M 52K
47,47-17,8M 541K,11M 388K,14M 235K,17M 82K
47,47-18,8M 556K,11M 408K,14M 260K,17M 112K
47,47-19,8M 571K,11M 428K,14M 285K,17M 142K
47,47-20,8M 586K,11M 448K,14M 310K,17M 172K
47,47-21,8M 601K,11M 468K,14M 335K,17M 202K
47,47-22,8M 616K,11M 488K,14M 360K,17M 232K
47,47-23,8M 632K,11M 509K,14M 386K,17M 263K
47,47-24,8M 647K,11M 529K,14M 411K,17M 293K
47,47-25,8M 662K,11M 549K,14M 436K,17M 323K
47,47-26,8M 677K,11M 569K,14M 462K,17M 354K
47,47-27,8M 692K,11M 590K,14M 487K,17M 384K
47,47-28,8M 708K,11M 610K,14M 512K,17M 415K
47,47-29,8M 723K,11M 630K,14M 538K,17M 445K
47,47-30,8M 738K,11M 651K,14M 564K,17M 476K
48,48-1,8M 754K,11M 671K,14M 589K,17M 507K
48,48-2,8M 769K,11M 692K,14M 615K,17M 538K
48,48-3,8M 785K,11M 713K,14M 641K,17M 569K
48,48-4,8M 800K,11M 733K,14M 666K,17M 599K
48,48-5,8M 815K,11M 754K,14M 692K,17M 630K
48,48-6,8M 831K,11M 774K,14M 718K,17M 661K
48,48-7,8M 846K,11M 795K,14M 744K,17M 692K
48,48-8,8M 862K,11M 816K,14M 770K,17M 724K
48,48-9,8M 878K,11M 837K,14M 796K,17M 755K
48,48-10,8M 893K,11M 857K,14M 822K,17M 786K
48,48-11,8M 909K,11M 878K,14M 848K,17M 817K
48,48-12,8M 924K,11M 899K,14M 874K,17M 848K
48,48-13,8M 940K,11M 920K,14M 900K,17M 880K
48,48-14,8M 956K,11M 941K,14M 926K,17M 911K
48,48-15,8M 972K,11M 962K,14M 952K,17M 943K
48,48-16,8M 987K,11M 983K,14M 979K,17M 974K
48,48-17,9M 3K,12M 4K,15M 5K,18M 6K
48,48-18,9M 19K,12M 25K,15M 31K,18M 38K
48,48-19,9M 35K,12M 46K,15M 58K,18M 69K
48,48-20,9M 51K,12M 68K,15M 84K,18M 101K
48,48-21,9M 67K,12M 89K,15M 111K,18M 133K
48,48-22,9M 83K,12M 110K,15M 137K,18M 165K
48,48-23,9M 99K,12M 131K,15M 164K,18M 197K
48,48-24,9M 115K,12M 153K,15M 191K,18M 229K
48,48-25,9M 131K,12M 174K,15M 217K,18M 261K
48,48-26,9M 147K,12M 195K,15M 244K,18M 293K
48,48-27,9M 163K,12M 217K,15M 271K,18M 325K
48,48-28,9M 179K,12M 238K,15M 298K,18M 357K
48,48-29,9M 195K,12M 260K,15M 325K,18M 389K
48,48-30,9M 211K,12M 281K,15M 352K,18M 422K
49,49-1,9M 227K,12M 303K,15M 379K,18M 454K
49,49-2,9M 244K,12M 325K,15M 406K,18M 487K
49,49-3,9M 260K,12M 346K,15M 433K,18M 519K
49,49-4,9M 276K,12M 368K,15M 460K,18M 552K
49,49-5,9M 292K,12M 390K,15M 487K,18M 584K
49,49-6,9M 309K,12M 411K,15M 514K,18M 617K
49,49-7,9M 325K,12M 433K,15M 541K,18M 650K
49,49-8,9M 341K,12M 455K,15M 569K,18M 682K
49,49-9,9M 358K,12M 477K,15M 596K,18M 715K
49,49-10,9M 374K,12M 499K,15M 624K,18M 748K
49,49-11,9M 391K,12M 521K,15M 651K,18M 781K
49,49-12,9M 407K,12M 543K,15M 679K,18M 814K
49,49-13,9M 424K,12M 565K,15M 706K,18M 847K
49,49-14,9M 440K,12M 587K,15M 734K,18M 880K
49,49-15,9M 457K,12M 609K,15M 761K,18M 914K
49,49-16,9M 474K,12M 631K,15M 789K,18M 947K
49,49-17,9M 490K,12M 654K,15M 817K,18M 980K
49,49-18,9M 507K,12M 676K,15M 845K,19M 13K
49,49-19,9M 527K,12M 703K,15M 879K,19M 54K
49,49-20,9M 548K,12M 730K,15M 913K,19M 95K
49,49-21,9M 569K,12M 758K,15M 947K,19M 137K
49,49-22,9M 589K,12M 785K,15M 982K,19M 178K
49,49-23,9M 610K,12M 813K,16M 16K,19M 219K
49,49-24,9M 631K,12M 841K,16M 51K,19M 261K
49,49-25,9M 651K,12M 868K,16M 85K,19M 302K
49,49-26,9M 672K,12M 896K,16M 120K,19M 344K
49,49-27,9M 693K,12M 924K,16M 155K,19M 385K
49,49-28,9M 714K,12M 952K,16M 189K,19M 427K
49,49-29,9M 735K,12M 980K,16M 224K,19M 469K
49,49-30,9M 756K,13M 8K,16M 259K,19M 511K
50,50-1,9M 777K,13M 36K,16M 294K,19M 553K
50,50-2,9M 798K,13M 64K,16M 329K,19M 595K
50,50-3,9M 819K,13M 92K,16M 365K,19M 637K
50,50-4,9M 840K,13M 120K,16M 400K,19M 680K
50,50-5,9M 861K,13M 148K,16M 435K,19M 722K
50,50-6,9M 883K,13M 177K,16M 471K,19M 765K
50,50-7,9M 904K,13M 205K,16M 506K,19M 807K
50,50-8,9M 925K,13M 233K,16M 542K,19M 850K
50,50-9,9M 947K,13M 262K,16M 577K,19M 893K
50,50-10,9M 968K,13M 291K,16M 613K,19M 936K
50,50-11,9M 990K,13M 319K,16M 649K,19M 979K
50,50-12,10M 11K,13M 348K,16M 685K,20M 22K
50,50-13,10M 33K,13M 377K,16M 721K,20M 65K
50,50-14,10M 54K,13M 406K,16M 757K,20M 108K
50,50-15,10M 76K,13M 434K,16M 793K,20M 151K
50,50-16,10M 98K,13M 463K,16M 829K,20M 195K
50,50-17,10M 119K,13M 492K,16M 865K,20M 238K
50,50-18,10M 141K,13M 521K,16M 902K,20M 282K
50,50-19,10M 163K,13M 551K,16M 938K,20M 326K
50,50-20,10M 181K,13M 574K,16M 968K,20M 361K
50,50-21,10M 199K,13M 598K,16M 998K,20M 397K
50,50-22,10M 217K,13M 622K,17M 27K,20M 433K
50,50-23,10M 235K,13M 646K,17M 57K,20M 469K
50,50-24,10M 253K,13M 670K,17M 87K,20M 505K
50,50-25,10M 271K,13M 694K,17M 117K,20M 541K
50,50-26,10M 289K,13M 718K,17M 147K,20M 577K
50,50-27,10M 307K,13M 742K,17M 177K,20M 613K
50,50-28,10M 325K,13M 766K,17M 208K,20M 649K
50,50-29,10M 343K,13M 790K,17M 238K,20M 685K
50,50-30,10M 361K,13M 815K,17M 268K,20M 722K
51,51-1,10M 379K,13M 839K,17M 298K,20M 758K
51,51-2,10M 397K,13M 863K,17M 329K,20M 794K
51,51-3,10M 416K,13M 887K,17M 359K,20M 831K
51,51-4,10M 434K,13M 912K,17M 390K,20M 867K
51,51-5,10M 452K,13M 936K,17M 420K,20M 904K
51,51-6,10M 471K,13M 961K,17M 451K,20M 941K
51,51-7,10M 489K,13M 985K,17M 481K,20M 977K
51,51-8,10M 507K,14M 10K,17M 512K,21M 14K
51,51-9,10M 526K,14M 34K,17M 543K,21M 51K
51,51-10,10M 544K,14M 59K,17M 573K,21M 88K
51,51-11,10M 563K,14M 84K,17M 604K,21M 125K
51,51-12,10M 581K,14M 108K,17M 635K,21M 162K
51,51-13,10M 600K,14M 133K,17M 666K,21M 199K
51,51-14,10M 618K,14M 158K,17M 697K,21M 236K
51,51-15,10M 637K,14M 183K,17M 728K,21M 274K
51,51-16,10M 656K,14M 208K,17M 759K,21M 311K
51,51-17,10M 675K,14M 233K,17M 791K,21M 349K
51,51-18,10M 693K,14M 257K,17M 822K,21M 386K
51,51-19,10M 712K,14M 283K,17M 853K,21M 424K
51,51-20,10M 731K,14M 308K,17M 884K,21M 461K
51,51-21,10M 750K,14M 333K,17M 916K,21M 499K
51,51-22,10M 768K,14M 358K,17M 947K,21M 536K
51,51-23,10M 787K,14M 383K,17M 979K,21M 574K
51,51-24,10M 806K,14M 408K,18M 10K,21M 612K
51,51-25,10M 825K,14M 434K,18M 42K,21M 650K
51,51-26,10M 844K,14M 459K,18M 73K,21M 688K
51,51-27,10M 863K,14M 484K,18M 105K,21M 726K
51,51-28,10M 882K,14M 510K,18M 137K,21M 764K
51,51-29,10M 901K,14M 535K,18M 169K,21M 802K
51,51-30,10M 921K,14M 561K,18M 201K,21M 841K
52,52-1,10M 940K,14M 586K,18M 232K,21M 879K
52,52-2,10M 959K,14M 612K,18M 264K,21M 917K
52,52-3,10M 978K,14M 637K,18M 296K,21M 956K
52,52-4,10M 997K,14M 663K,18M 329K,21M 994K
52,52-5,11M 17K,14M 689K,18M 361K,22M 33K
52,52-6,11M 36K,14M 714K,18M 393K,22M 71K
52,52-7,11M 55K,14M 740K,18M 425K,22M 110K
52,52-8,11M 75K,14M 766K,18M 458K,22M 149K
52,52-9,11M 94K,14M 792K,18M 490K,22M 188K
52,52-10,11M 114K,14M 818K,18M 522K,22M 227K
52,52-11,11M 133K,14M 844K,18M 555K,22M 266K
52,52-12,11M 153K,14M 870K,18M 587K,22M 305K
52,52-13,11M 172K,14M 896K,18M 620K,22M 344K
52,52-14,11M 192K,14M 922K,18M 653K,22M 383K
52,52-15,11M 211K,14M 948K,18M 685K,22M 422K
52,52-16,11M 231K,14M 975K,18M 718K,22M 462K
52,52-17,11M 251K,15M 1K,18M 751K,22M 501K
52,52-18,11M 271K,15M 27K,18M 784K,22M 541K
52,52-19,11M 290K,15M 54K,18M 817K,22M 580K
52,52-20,11M 310K,15M 80K,18M 850K,22M 620K
52,52-21,11M 330K,15M 106K,18M 883K,22M 659K
52,52-22,11M 350K,15M 133K,18M 916K,22M 699K
52,52-23,11M 370K,15M 159K,18M 949K,22M 739K
52,52-24,11M 390K,15M 186K,18M 982K,22M 779K
52,52-25,11M 410K,15M 213K,19M 16K,22M 819K
52,52-26,11M 430K,15M 239K,19M 49K,22M 859K
52,52-27,11M 450K,15M 266K,19M 83K,22M 899K
52,52-28,11M 470K,15M 293K,19M 116K,22M 939K
52,52-29,11M 490K,15M 320K,19M 150K,22M 979K
52,52-30,11M 510K,15M 347K,19M 183K,23M 20K
53,53-1,11M 530K,15M 374K,19M 217K,23M 60K
53,53-2,11M 551K,15M 401K,19M 251K,23M 101K
53,53-3,11M 571K,15M 428K,19M 284K,23M 141K
53,53-4,11M 591K,15M 455K,19M 318K,23M 182K
53,53-5,11M 611K,15M 482K,19M 352K,23M 222K
53,53-6,11M 632K,15M 509K,19M 386K,23M 263K
53,53-7,11M 652K,15M 536K,19M 420K,23M 304K
53,53-8,11M 673K,15M 563K,19M 454K,23M 345K
53,53-9,11M 693K,15M 591K,19M 488K,23M 386K
53,53-10,11M 714K,15M 618K,19M 523K,23M 427K
53,53-11,11M 734K,15M 646K,19M 557K,23M 468K
53,53-12,11M 755K,15M 673K,19M 591K,23M 509K
53,53-13,11M 776K,15M 701K,19M 626K,23M 551K
53,53-14,11M 796K,15M 728K,19M 660K,23M 592K
53,53-15,11M 817K,15M 756K,19M 694K,23M 633K
53,53-16,11M 838K,15M 783K,19M 729K,23M 675K
53,53-17,11M 858K,15M 811K,19M 764K,23M 716K
53,53-18,11M 879K,15M 839K,19M 798K,23M 758K
53,53-19,11M 900K,15M 867K,19M 833K,23M 800K
53,53-20,11M 921K,15M 894K,19M 868K,23M 841K
53,53-21,11M 942K,15M 922K,19M 903K,23M 883K
53,53-22,11M 963K,15M 950K,19M 938K,23M 925K
53,53-23,11M 984K,15M 978K,19M 973K,23M 967K
53,53-24,12M 5K,16M 6K,20M 8K,24M 9K
53,53-25,12M 26K,16M 34K,20M 43K,24M 51K
53,53-26,12M 47K,16M 62K,20M 78K,24M 93K
53,53-27,12M 68K,16M 91K,20M 113K,24M 136K
53,53-28,12M 89K,16M 119K,20M 149K,24M 178K
53,53-29,12M 111K,16M 147K,20M 184K,24M 221K
53,53-30,12M 132K,16M 176K,20M 219K,24M 263K
54,54-1,12M 153K,16M 204K,20M 255K,24M 306K
54,54-2,12M 174K,16M 232K,20M 290K,24M 348K
54,54-3,12M 196K,16M 261K,20M 326K,24M 391K
54,54-4,12M 217K,16M 289K,20M 362K,24M 434K
54,54-5,12M 239K,16M 318K,20M 397K,24M 477K
54,54-6,12M 260K,16M 347K,20M 433K,24M 520K
54,54-7,12M 282K,16M 375K,20M 469K,24M 563K
54,54-8,12M 303K,16M 404K,20M 505K,24M 606K
54,54-9,12M 325K,16M 433K,20M 541K,24M 649K
54,54-10,12M 346K,16M 462K,20M 577K,24M 692K
54,54-11,12M 368K,16M 491K,20M 613K,24M 736K
54,54-12,12M 390K,16M 520K,20M 649K,24M 779K
54,54-13,12M 412K,16M 549K,20M 686K,24M 823K
54,54-14,12M 433K,16M 578K,20M 722K,24M 866K
54,54-15,12M 455K,16M 607K,20M 758K,24M 910K
54,54-16,12M 477K,16M 636K,20M 795K,24M 953K
54,54-17,12M 499K,16M 665K,20M 831K,24M 997K
54,54-18,12M 521K,16M 694K,20M 868K,25M 41K
54,54-19,12M 543K,16M 724K,20M 904K,25M 85K
54,54-20,12M 565K,16M 753K,20M 941K,25M 129K
54,54-21,12M 587K,16M 782K,20M 978K,25M 173K
54,54-22,12M 609K,16M 812K,21M 15K,25M 217K
54,54-23,12M 631K,16M 841K,21M 51K,25M 262K
54,54-24,12M 653K,16M 871K,21M 88K,25M 306K
54,54-25,12M 675K,16M 900K,21M 125K,25M 350K
54,54-26,12M 698K,16M 930K,21M 162K,25M 395K
54,54-27,12M 720K,16M 960K,21M 200K,25M 439K
54,54-28,12M 742K,16M 990K,21M 237K,25M 484K
54,54-29,12M 765K,17M 19K,21M 274K,25M 529K
54,54-30,12M 787K,17M 49K,21M 311K,25M 574K
55,55-1,12M 809K,17M 79K,21M 349K,25M 618K
55,55-2,12M 832K,17M 109K,21M 386K,25M 663K
55,55-3,12M 854K,17M 139K,21M 424K,25M 708K
55,55-4,12M 877K,17M 169K,21M 461K,25M 754K
55,55-5,12M 900K,17M 199K,21M 499K,25M 799K
55,55-6,12M 922K,17M 230K,21M 537K,25M 844K
55,55-7,12M 945K,17M 260K,21M 575K,25M 889K
55,55-8,12M 968K,17M 290K,21M 612K,25M 935K
55,55-9,12M 990K,17M 320K,21M 650K,25M 980K
55,55-10,13M 13K,17M 351K,21M 688K,26M 26K
55,55-11,13M 36K,17M 381K,21M 726K,26M 72K
55,55-12,13M 59K,17M 412K,21M 765K,26M 117K
55,55-13,13M 82K,17M 442K,21M 803K,26M 163K
55,55-14,13M 105K,17M 473K,21M 841K,26M 209K
55,55-15,13M 128K,17M 504K,21M 879K,26M 255K
55,55-16,13M 151K,17M 534K,21M 918K,26M 301K
55,55-17,13M 174K,17M 565K,21M 956K,26M 347K
55,55-18,13M 197K,17M 596K,21M 995K,26M 394K
55,55-19,13M 220K,17M 627K,22M 33K,26M 440K
55,55-20,13M 243K,17M 658K,22M 72K,26M 486K
55,55-21,13M 267K,17M 689K,22M 111K,26M 533K
55,55-22,13M 290K,17M 720K,22M 150K,26M 579K
55,55-23,13M 313K,17M 751K,22M 188K,26M 626K
55,55-24,13M 337K,17M 782K,22M 227K,26M 673K
